,lactate,oobventday1,eyes,motor,verbal,albumin_x,age,creatinine_x,BUN,PT - INR,WBC x 1000,meanbp
count,80780.0,193716.0,184691.0,184366.0,184514.0,121900.0,189026.0,184927.0,184819.0,134981.0,189611.0,186460.0
mean,2.27294017612608,0.3464143385161783,3.4261442084346285,5.444816289337513,3.87071983697714,3.0926104839611765,62.56616021076466,1.4304816535962435,24.755840460654564,1.4293800482298096,11.612166725643645,84.98390103657351
std,1.769927302765576,0.47582834444041944,0.9709777390042709,1.3308333509533652,1.7315675382653113,0.698264707846675,33.07140792220534,1.5489348823286022,19.648286376578486,0.8795831122423728,7.607205417442598,36.374198913833055
min,0.0,0.0,1.0,1.0,0.0,0.6,0.0,0.08,0.8,0.5,0.0,24.535714285714285
25%,1.2,0.0,3.0,6.0,3.0,2.6,50.0,0.74,13.0,1.1,7.908333333333332,58.0
50%,1.8,0.0,4.0,6.0,5.0,3.1,63.0,0.9740000000000001,19.0,1.2,10.44285714285714,72.0
75%,2.7,1.0,4.0,6.0,5.0,3.6,75.0,1.4,30.0,1.4777777777777776,13.8,113.0
max,36.7,1.0,4.0,6.0,5.0,22.7,310.0,46.6,2583.454545454545,48.8,846.7,200.0
